,Temperature (°C),Ice Cream Sales (units)
0,-4.662262677220208,41.84298632027783
1,-4.316559446725467,34.66111953736023
2,-4.213984764590729,39.38300087682567
3,-3.9496610890515704,37.53984488250128
4,-3.578553716228682,32.28453118789761
5,-3.455711698065576,30.00113847641735
6,-3.108440120890996,22.63540127701263
7,-3.081303324303456,25.36502221208036
8,-2.672460827006454,19.22697004825409
9,-2.652286792936049,20.27967917842273
10,-2.6514980333001317,13.275828499002513
11,-2.288263998488389,18.123991212726548
12,-2.111869690297304,11.218294472789264
13,-1.8189376094349368,10.012867848328883
14,-1.6603477296372016,12.615181154152337
15,-1.3263789834948423,10.957731335561812
16,-1.1731232680778254,6.689122639625872
17,-0.773330043103446,9.392968661109096
18,-0.6737528018380357,5.210162615266291
19,-0.1496348665335983,4.673642540546473
20,-0.0361564976826873,0.3286255169266415
21,-0.0338952855714465,0.8976031867492689
22,0.0086076987316141,3.165600007954848
23,0.1492445740467583,1.931416028704983
24,0.6887809076106148,2.576782244618883
25,0.6935988725293257,4.625689457527259
26,0.8749050291584157,0.7899736505077737
27,1.0241808138155706,2.313806358173546
28,1.2407116187783347,1.292360810760447
29,1.3598126741393184,0.9531153124098825
30,1.7400000122653545,3.782570135712502
31,1.850551925836895,4.857987801146915
32,1.999310369037285,8.9438232087124
33,2.075100596577272,8.17073493579141
34,2.318591239633373,7.412094028378014
35,2.4719459973351454,10.336630624804783
36,2.784836463321575,15.996619968225746
37,2.8317602113138345,12.568237393671758
38,2.959932091478899,21.342915741299237
39,3.020874314267157,20.11441346128526
40,3.211366144342004,22.83940550303454
41,3.270044068238683,16.98327873697228
42,3.316072519311853,25.14208222879581
43,3.3359324122355543,26.10474040667661
44,3.61077847766804,28.912187929191944
45,3.704057438377216,17.84395651991352
46,4.130867961260749,34.53074273928149
47,4.133533788303586,27.69838334813044
48,4.899031513688672,41.51482194316632
